current_role,job_location,key_success_factors,beneficial_actions,advice_for_others,current_job_status,living_in_denmark,target_location,education_level,field_of_study,experience_years,prior_dk_experience,target_roles,working_model,english_proficiency,danish_proficiency,visa_status,applications_last_3_months,interview_invites,biggest_challenge,skill_prototyping,skill_python,skill_insurance,skill_quick learner,skill_grid analysis,skill_api development,skill_java script,skill_sql,skill_vue,skill_machine learning,skill_guidewire,skill_java,skill_html,skill_excel,skill_biotechnology microbiology quality control,skill_web development,skill_user research,skill_machine learning and data analysis,skill_statistical methods,skill_data cleaning,skill_git,skill_ux design,skill_solar power simulations,skill_ai enthusiastic,skill_c#,skill_pandas,skill_strong mathematics background,skill_wireframing,skill_cloud computing,skill_photography,skill_data modeling,skill_data visualization,skill_mobile app development,skill_figma,skill_problem solving,skill_electrical engineering,skill_teamwork,skill_dustribution,skill_ui design,skill_time management,skill_adaptability,skill_ml,skill_programming and software development,skill_design thinking,skill_data analysis,skill_numpy,skill_typescript,skill_css,skill_power bi,skill_react,skill_javascript,skill_domain,skill_communication,tool_,tool_python,tool_jupyter,tool_python (basic level),tool_sql,tool_tableau,tool_postman,tool_java,tool_1. code development and scripting,tool_html,tool_docker,tool_2. web development,tool_nextjs,tool_adobe xd,tool_powerbi,tool_aws,tool_c#,tool_c program,tool_webpack,tool_sql workbench,tool_github,tool_css,tool_matlab,tool_adobe,tool_r,tool_etc…,tool_typescript,tool_vs code,tool_azure,tool_figma,tool_react,tool_javascript
Business Analyst,Copenhagen,"Relevant skills/tech stack, Strong CV/Resume and LinkedIn profile",Network,Build your network,,,,Master's,MBA,,Yes,,Onsite,4,Basic only,Residence Permit,0.0,1,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,Actively applying for Jobs,Yes,Copenhagen,Master's,MBA,,Yes,Others,Onsite,5,Basic only,Residence Permit,0.0,1,Lack of Danish language,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,Actively applying for Jobs,Yes,Copenhagen,PhD,Mathematics ,,No,Data Analyst,Hybrid,5,Basic only,Residence Permit,0.0,0,"Lack of Danish language, Not enough local experience, Skills mismatch",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,Not actively applying but intrested,Yes,Copenhagen,Master's,Structural Engineering & Natural Disaster Management ,,No,Data Analyst,Hybrid,4,Basic only,Residence Permit,0.0,0,Not enough local experience,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quality control,Copenhagen,Relevant skills/tech stack,LinkedIn ,"Talk to the recruiter before applying for a job. 
Just tell about yourself, why you are interested for particular role.",,,,Bachelor's,Business administration,,Yes,,Onsite,5,Intermediate,Residence Permit,0.0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Junior Clinical data manager,Copenhagen,"Language proficiency in English, Language proficiency in Danish, Relevant skills/tech stack, Networking and connections",Applying for a job as much as possible,Keep trying...Dont give up..Time will surely come..,,,,Master's,Computer Science,,No,,Onsite,5,"Yes, Conversational",Job Seeker Visa,0.0,1,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,Actively applying for Jobs,Yes,Copenhagen,Bachelor's,Computer Science,,No,Data Scientist,Onsite,4,Not at all,Residence Permit,0.0,1,"Not enough local experience, Skills mismatch",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,Not actively applying but intrested,Yes,Copenhagen,Master's,Biotechnology ,,No,Others,Remote,4,"Yes, Conversational",Residence Permit,0.0,0,Lack of Danish language,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,Actively applying for Jobs,Yes,Copenhagen,Master's,IT,,Yes,Software Developer,Hybrid,4,"Yes, Conversational",Residence Permit,0.0,0,Maybe not EU citizen (recent opinion),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1
,,,,,Not actively applying but intrested,Yes,Copenhagen,Bachelor's,CSE,,Yes,Data Analyst,Remote,2,Not at all,Residence Permit,0.0,0,Not enough local experience,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
